ISIN,Name,Listed_In,BSE_Symbol,NSE_Symbol,search query
INE113E01015,UNIVERSAL STARCH-CHEM ALLIED L,BSE,UNIVSTAR,,UNIVERSAL STARCH-CHEM ALLIED L investor relations
INE114A01011,STEEL AUTHORITY OF INDIA LTD.,"BSE, NSE",SAIL,SAIL,STEEL AUTHORITY OF INDIA LTD. investor relations
INE114D01015,OXFORD INDUSTRIES LTD.,BSE,OXFORDIN,,OXFORD INDUSTRIES LTD. investor relations
INE114E01013,Chrome Silicon Limited,BSE,CHROME,,Chrome Silicon Limited investor relations
INE114O01020,WORTH INVESTMENT & TRADING CO,BSE,WORTH,,WORTH INVESTMENT & TRADING CO investor relations
INE115A01026,LIC HOUSING FINANCE LTD.,"BSE, NSE",LICHSGFIN,LICHSGFIN,LIC HOUSING FINANCE LTD. investor relations
INE115C01014,VARDHMAN CONCRETE LIMITED,BSE,VARDHMAN,,VARDHMAN CONCRETE LIMITED investor relations
INE115F01017,SHREYAS INTERMEDIATES LTD.,BSE,SHREYASI,,SHREYAS INTERMEDIATES LTD. investor relations
INE115G01015,TIRUPATI FOAM LIMITED,BSE,TIRUFOAM,,TIRUPATI FOAM LIMITED investor relations
INE115Q01022,INVENTURUS KNOWLEDGE SOLUTIONS,"BSE, NSE",IKS,IKS,INVENTURUS KNOWLEDGE SOLUTIONS investor relations
INE115S01010,Halder Venture Limited,"BSE, NSE",HALDER,HALDER,Halder Venture Limited investor relations
INE116A01032,APCOTEX INDUSTRIES LTD.,"BSE, NSE",APCOTEXIND,APCOTEXIND,APCOTEX INDUSTRIES LTD. investor relations
INE116C01012,Z.F.STEERING GEAR (INDIA) LTD.,BSE,ZFSTEERING,,Z.F.STEERING GEAR (INDIA) LTD. investor relations
INE116D01028,B.A.G.FILMS & MEDIA LTD.,"BSE, NSE",BAGFILMS,BAGFILMS,B.A.G.FILMS & MEDIA LTD. investor relations
INE116G01013,Vardhman Acrylics Limited,NSE,,VARDHACRLC,Vardhman Acrylics Limited investor relations
INE117A01022,ABB INDIA LIMITED,"BSE, NSE",ABB,ABB,ABB INDIA LIMITED investor relations
INE117B01020,CURA TECHNOLOGIES LTD.,"BSE, NSE",CURAA,CURAA,CURA TECHNOLOGIES LTD. investor relations
INE117C01010,CITYMAN LTD.,BSE,CITYMAN,,CITYMAN LTD. investor relations
INE117D01018,PHARMAIDS PHARMACEUTICALS LTD.,BSE,PHARMAID,,PHARMAIDS PHARMACEUTICALS LTD. investor relations
INE117F01013,VJTF EDUSERVICES LTD.,BSE,VJTFEDU,,VJTF EDUSERVICES LTD. investor relations
INE117H01019,SIR SHADI LAL ENTERPRISES LTD.,BSE,SSLEL,,SIR SHADI LAL ENTERPRISES LTD. investor relations
INE117K01013,RR METALMAKERS INDIA LIMITED,BSE,RRMETAL,,RR METALMAKERS INDIA LIMITED investor relations
INE117Z01011,Narmada Agrobase Limited,"BSE, NSE",NARMADA,NARMADA,Narmada Agrobase Limited investor relations
INE118A01012,BAJAJ HOLDINGS & INVESTMENT LT,"BSE, NSE",BAJAJHLDNG,BAJAJHLDNG,BAJAJ HOLDINGS & INVESTMENT LT investor relations
INE118C01018,DYNAMIC PORTFOLIO MANAGEMENT &,BSE,DYNAMICP,,DYNAMIC PORTFOLIO MANAGEMENT & investor relations
INE118D01016,Nuvoco Vistas Corporation Limi,"BSE, NSE",NUVOCO,NUVOCO,Nuvoco Vistas Corporation Limi investor relations
INE118H01025,BSE Limited,NSE,,BSE,BSE Limited investor relations
INE118R01032,SHANGAR DECOR LIMITED,BSE,SHANGAR,,SHANGAR DECOR LIMITED investor relations
INE119201023,PARK MEDI WORLD LIMITED,"BSE, NSE",PARKHOSPS,PARKHOSPS,PARK MEDI WORLD LIMITED investor relations
INE119A01028,BALRAMPUR CHINI MILLS LTD.,"BSE, NSE",BALRAMCHIN,BALRAMCHIN,BALRAMPUR CHINI MILLS LTD. investor relations
INE119B01018,SVAM SOFTWARE LTD.,BSE,SVAMSOF,,SVAM SOFTWARE LTD. investor relations
INE119R01014,Balgopal Commercial limited,BSE,BALGOPAL,,Balgopal Commercial limited investor relations
INE120A01034,CARBORUNDUM UNIVERSAL LTD.,"BSE, NSE",CARBORUNIV,CARBORUNIV,CARBORUNDUM UNIVERSAL LTD. investor relations
INE120D01012,Hitech Corporation Limited,"BSE, NSE",HITECHCORP,HITECHCORP,Hitech Corporation Limited investor relations
INE121A01024,CHOLAMANDALAM INVESTMENT AND F,"BSE, NSE",CHOLAFIN,CHOLAFIN,CHOLAMANDALAM INVESTMENT AND F investor relations
INE121B01014,WALLFORT FINANCIAL SERVICES LT,BSE,WALLFORT,,WALLFORT FINANCIAL SERVICES LT investor relations
INE121D01036,SYSCHEM (INDIA) LTD.,BSE,SYSCHEM,,SYSCHEM (INDIA) LTD. investor relations
INE121E01018,JSW ENERGY LTD,"BSE, NSE",JSWENERGY,JSWENERGY,JSW ENERGY LTD investor relations
INE121J01017,INDUS TOWERS LIMITED,"BSE, NSE",INDUSTOWER,INDUSTOWER,INDUS TOWERS LIMITED investor relations
INE121N01019,Thejo Engineering Limited,NSE,,THEJO,Thejo Engineering Limited investor relations
INE121R01077,Amagi Media Labs Limited,"BSE, NSE",AMAGI,AMAGI,Amagi Media Labs Limited investor relations
INE122D01026,ADITYA SPINNERS LTD.,BSE,ADITYASP,,ADITYA SPINNERS LTD. investor relations
INE122M01019,ESSAR SHIPPING LTD.,"BSE, NSE",ESSARSHPNG,ESSARSHPNG,ESSAR SHIPPING LTD. investor relations
INE123B01028,NAGREEKA EXPORTS LTD.,"BSE, NSE",NAGREEKEXP,NAGREEKEXP,NAGREEKA EXPORTS LTD. investor relations
INE123C01018,TAINWALA CHEMICALS & PLASTICS,"BSE, NSE",TAINWALCHM,TAINWALCHM,TAINWALA CHEMICALS & PLASTICS investor relations
INE123D01024,ALLIANCE INTEGRATED METALIKS L,BSE,AIML,,ALLIANCE INTEGRATED METALIKS L investor relations
INE123E01014,INFORMED TECHNOLOGIES INDIA LT,BSE,INFORTEC,,INFORMED TECHNOLOGIES INDIA LT investor relations
INE123F01029,MMTC LTD.,"BSE, NSE",MMTC,MMTC,MMTC LTD. investor relations
INE123M01017,RDB RASAYANS LTD.,BSE,RDBRL,,RDB RASAYANS LTD. investor relations
INE123W01016,SBI Life Insurance Company Lim,"BSE, NSE",SBILIFE,SBILIFE,SBI Life Insurance Company Lim investor relations
INE124B01018,COSMO FERRITES LTD.,BSE,COSMOFE,,COSMO FERRITES LTD. investor relations
INE124E01038,STEELCAST LTD.,"BSE, NSE",STEELCAS,STEELCAS,STEELCAST LTD. investor relations
INE124G01033,DELTA CORP LTD.,"BSE, NSE",DELTACORP,DELTACORP,DELTA CORP LTD. investor relations
INE124Y01010,Pashupati Cotspin Limited,"BSE, NSE",PASHUPATI,PASHUPATI,Pashupati Cotspin Limited investor relations
INE125D01011,ABC INDIA LTD.,BSE,ABCINDQ,,ABC INDIA LTD. investor relations
INE125F01032,ONESOURCE INDUSTRIES AND VENTU,BSE,OIVL,,ONESOURCE INDUSTRIES AND VENTU investor relations
INE125G01014,Edvenswa Enterprises Limited,BSE,EDVENSWA,,Edvenswa Enterprises Limited investor relations
INE126A01031,E.I.D.-PARRY (INDIA) LTD.,"BSE, NSE",EIDPARRY,EIDPARRY,E.I.D.-PARRY (INDIA) LTD. investor relations
INE126J01016,APOLLO PIPES LIMITED,"BSE, NSE",APOLLOPIPE,APOLLOPIPE,APOLLO PIPES LIMITED investor relations
INE126M01010,Indiabulls Limited,"BSE, NSE",IBULLSLTD,IBULLSLTD,Indiabulls Limited investor relations
INE127B01011,The Hi-Tech Gears Ltd,"BSE, NSE",HITECHGEAR,HITECHGEAR,The Hi-Tech Gears Ltd investor relations
INE127D01025,HDFC Asset Management Company,"BSE, NSE",HDFCAMC,HDFCAMC,HDFC Asset Management Company investor relations
INE127I01024,Goodluck India Limited,"BSE, NSE",GOODLUCK,GOODLUCK,Goodluck India Limited investor relations
INE127T01021,K.P. Energy Limited,"BSE, NSE",KPEL,KPEL,K.P. Energy Limited investor relations
INE128A01029,EVEREADY INDUSTRIES INDIA LTD.,"BSE, NSE",EVEREADY,EVEREADY,EVEREADY INDUSTRIES INDIA LTD. investor relations
INE128R01023,KRETTO SYSCON LIMITED,BSE,KRETTOSYS,,KRETTO SYSCON LIMITED investor relations
INE128S01021,Five-Star Business Finance Ltd,"BSE, NSE",FIVESTAR,FIVESTAR,Five-Star Business Finance Ltd investor relations
INE128X01021,Archean Chemical Industries Li,"BSE, NSE",ACI,ACI,Archean Chemical Industries Li investor relations
INE129A01019,GAIL (INDIA) LTD.,"BSE, NSE",GAIL,GAIL,GAIL (INDIA) LTD. investor relations
INE129Z01016,Sintercom India Limited,NSE,,SINTERCOM,Sintercom India Limited investor relations
INE12NJ01018,SAMBHV STEEL TUBES LIMITED,"BSE, NSE",SAMBHV,SAMBHV,SAMBHV STEEL TUBES LIMITED investor relations
INE12P101018,Chiraharit Limited,BSE,CHIRAHARIT,,Chiraharit Limited investor relations
INE12P601017,Globtier Infotech limited,BSE,GLOBTIER,,Globtier Infotech limited investor relations
INE12QA01010,LANDMARK GLOBAL LEARNING LIMIT,BSE,LGLL,,LANDMARK GLOBAL LEARNING LIMIT investor relations
INE12UN01015,SHADOWFAX TECHNOLOGIES LIMITED,"BSE, NSE",SHADOWFAX,SHADOWFAX,SHADOWFAX TECHNOLOGIES LIMITED investor relations
INE12UR01024,Fujiyama Power Systems Limited,"BSE, NSE",UTLSOLAR,UTLSOLAR,Fujiyama Power Systems Limited investor relations
INE130701019,Valencia India Limited,BSE,VALINDIA,,Valencia India Limited investor relations
INE130B01031,SURANA TELECOM AND POWER LIMIT,"BSE, NSE",SURANAT&P,SURANAT&P,SURANA TELECOM AND POWER LIMIT investor relations
INE130F01016,KEY CORP LTD.,BSE,KEYCORP,,KEY CORP LTD. investor relations
INE130L01014,ENKEI WHEELS (INDIA) LTD.,BSE,ENKEIWHEL,,ENKEI WHEELS (INDIA) LTD. investor relations
INE131A01031,GUJARAT MINERAL DEVELOPMENT CO,"BSE, NSE",GMDCLTD,GMDCLTD,GUJARAT MINERAL DEVELOPMENT CO investor relations
INE131B01039,RELAXO FOOTWEARS LTD.,"BSE, NSE",RELAXO,RELAXO,RELAXO FOOTWEARS LTD. investor relations
INE131C01011,DISA INDIA LTD.,BSE,DISAQ,,DISA INDIA LTD. investor relations
INE131D01019,G.K.CONSULTANTS LTD.,BSE,GKCONS,,G.K.CONSULTANTS LTD. investor relations
INE131H01028,INDIANIVESH LTD.,BSE,INDIANVSH,,INDIANIVESH LTD. investor relations
INE132C01027,SURYALATA SPINNING MILLS LTD.,BSE,SURYALA,,SURYALATA SPINNING MILLS LTD. investor relations
INE132E01015,DECCAN POLYPACKS LTD.,BSE,DECPO,,DECCAN POLYPACKS LTD. investor relations
INE132F01038,NCL RESEARCH & FINANCIAL SERVI,BSE,NCLRESE,,NCL RESEARCH & FINANCIAL SERVI investor relations
INE132H01018,AURIONPRO SOLUTIONS LTD.,"BSE, NSE",AURIONPRO,AURIONPRO,AURIONPRO SOLUTIONS LTD. investor relations
INE133A01011,AKZO NOBEL INDIA LIMITED,"BSE, NSE",AKZOINDIA,AKZOINDIA,AKZO NOBEL INDIA LIMITED investor relations
INE133B01027,KESAR ENTERPRISES LTD.,BSE,KESARENT,,KESAR ENTERPRISES LTD. investor relations
INE133C01033,KESAR PETROPRODUCTS LTD.,BSE,KESARPE,,KESAR PETROPRODUCTS LTD. investor relations
INE133D01023,ARTSON LIMITED,BSE,ARTSON,,ARTSON LIMITED investor relations
INE133E01013,TILAKNAGAR INDUSTRIES LTD.,"BSE, NSE",TI,TI,TILAKNAGAR INDUSTRIES LTD. investor relations
